Ngày hạch toán,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh
1/3/2017,ĐH0000737,KH-0001,P-001,1,27300000,27300000,17745000,NV00078,CN HP
1/4/2017,ĐH0000733,KH-0002,P-001,1,22269560,22269560,13361736,NV00078,CN HP
1/5/2017,ĐH0000734,KH-0002,P-002,1,43680840,43680840,28392546,NV00078,CN HP
1/6/2017,ĐH0000764,KH-0003,P-003,1,2200000,2200000,1540000,NV00051,CN HCM
1/7/2017,ĐH0000768,KH-0002,P-004,1,11264400,11264400,6758640,NV00078,CN HCM
1/8/2017,ĐH0000789,KH-0004,P-005,1,7050000,7050000,4230000,NV00078,CN HP
1/9/2017,ĐH0000789,KH-0004,P-006,1,7050000,7050000,4582500,NV00078,CN HN
1/10/2017,ĐH0000789,KH-0004,P-007,1,8900000,8900000,5785000,NV00078,CN HN
1/11/2017,ĐH0000790,KH-0004,P-008,1,8900000,8900000,6230000,NV00078,CN HP
1/12/2017,ĐH0000792,KH-0005,P-009,1,14900000,14900000,9685000,NV00089,CN HN
1/13/2017,ĐH0000795,KH-0006,P-010,1,24691260,24691260,14814756,NV00029,CN HP
1/14/2017,ĐH0000795,KH-0006,P-011,1,17656320,17656320,10593792,NV00029,CN HP
1/15/2017,ĐH0000800,KH-0007,P-012,1,8400000,8400000,5040000,NV00078,CN HN
1/16/2017,ĐH0000801,KH-0007,P-013,1,3457415,3457415,2074449,NV00078,CN HN
1/17/2017,ĐH0000802,KH-0008,P-012,1,8640000,8640000,5616000,NV00078,CN HN
1/18/2017,ĐH0000802,KH-0008,P-014,1,8640000,8640000,5616000,NV00078,CN HCM
1/19/2017,ĐH0000804,KH-0009,P-015,1,3800000,3800000,2470000,NV00061,CN HCM
1/20/2017,ĐH0000804,KH-0009,P-016,1,7500000,7500000,4875000,NV00061,CN HN
1/21/2017,ĐH0000811,KH-0010,P-017,1,4040000,4040000,2424000,NV00080,CN HP
1/22/2017,ĐH0000812,KH-0010,P-017,1,4040000,4040000,2626000,NV00080,CN HCM
1/23/2017,ĐH0000813,KH-0010,P-018,1,2960000,2960000,1924000,NV00080,CN HP
1/24/2017,ĐH0000815,KH-0011,P-018,1,2980000,2980000,1788000,NV00078,CN HN
1/25/2017,ĐH0000827,KH-0010,P-018,1,2960000,2960000,1776000,NV00080,CN HN
1/26/2017,ĐH0000838,KH-0010,P-018,1,2960000,2960000,2072000,NV00080,CN HCM
1/27/2017,ĐH0000838,KH-0010,P-017,1,4040000,4040000,2424000,NV00080,CN HP
1/28/2017,ĐH0000840,KH-0009,P-015,1,3750000,3750000,2437500,NV00061,CN HP
1/29/2017,ĐH0000840,KH-0009,P-016,1,7450000,7450000,4842500,NV00061,CN HCM
1/30/2017,ĐH0000841,KH-0012,P-007,1,5900000,5900000,3835000,NV00029,CN HCM
1/31/2017,ĐH0000844,KH-0013,P-019,1,3240000,3240000,1944000,NV00078,CN HN
2/1/2017,ĐH0000844,KH-0013,P-020,1,2379000,2379000,1427400,NV00078,CN HN
2/2/2017,ĐH0000854,KH-0014,P-021,1,16075000,16075000,10448750,NV00080,CN HN
2/3/2017,ĐH0000857,KH-0010,P-018,1,2960000,2960000,1924000,NV00080,CN HN
2/4/2017,ĐH0000857,KH-0010,P-017,1,4040000,4040000,2828000,NV00080,CN HP
2/5/2017,ĐH0000858,KH-0010,P-022,1,2960000,2960000,2072000,NV00080,CN HN
2/6/2017,ĐH0000870,KH-0010,P-023,1,9125000,9125000,6387500,NV00080,CN HP
2/7/2017,ĐH0000872,KH-0015,P-024,1,7909091,7909091,5536363.7,NV00081,CN HN
2/8/2017,ĐH0000881,KH-0011,P-025,1,17800000,17800000,12460000,NV00078,CN HN
2/9/2017,ĐH0000887,KH-0016,P-026,1,2140000,2140000,1498000,NV00090,CN HCM
2/10/2017,ĐH0000888,KH-0017,P-027,1,3100000,3100000,2015000,NV00090,CN HP
2/11/2017,ĐH0000890,KH-0018,P-028,1,3300000,3300000,2145000,NV00090,CN HN
2/12/2017,ĐH0000890,KH-0018,P-017,1,4100000,4100000,2870000,NV00090,CN HCM
2/13/2017,ĐH0000891,KH-0014,P-029,1,5393000,5393000,3235800,NV00080,CN HN
2/14/2017,ĐH0000894,KH-0010,P-017,1,4030000,4030000,2418000,NV00080,CN HCM
2/15/2017,ĐH0000895,KH-0019,P-028,1,3350000,3350000,2345000,NV00090,CN HCM
2/16/2017,ĐH0000902,KH-0020,P-030,1,5500000,5500000,3300000,NV00061,CN HP
2/17/2017,ĐH0000903,KH-0010,P-018,1,2960000,2960000,2072000,NV00080,CN HN
2/18/2017,ĐH0000903,KH-0010,P-017,1,4040000,4040000,2424000,NV00080,CN HCM
2/19/2017,ĐH0000905,KH-0021,P-031,1,993000,993000,695100,NV00078,CN HP
2/20/2017,ĐH0000901,KH-0007,P-032,1,8550000,8550000,5985000,NV00078,CN HCM
2/21/2017,ĐH0000908,KH-0022,P-017,1,4040000,4040000,2626000,NV00080,CN HP
2/22/2017,ĐH0000911,KH-0010,P-032,1,7577000,7577000,4925050,NV00080,CN HCM
2/23/2017,ĐH0000911,KH-0010,P-012,1,7577000,7577000,5303900,NV00080,CN HN
2/24/2017,ĐH0000923,KH-0018,P-017,1,4100000,4100000,2665000,NV00090,CN HP
2/25/2017,ĐH0000923,KH-0018,P-028,1,3300000,3300000,2310000,NV00090,CN HN
2/26/2017,ĐH0000929,KH-0010,P-033,1,17080000,17080000,11102000,NV00080,CN HN
2/27/2017,ĐH0000979,KH-0023,P-034,1,19264000,19264000,12521600,NV00086,CN HP
2/28/2017,ĐH0000986,KH-0007,P-035,1,88500000,88500000,61950000,NV00078,CN HCM
3/1/2017,ĐH0000991,KH-0024,P-036,1,3400000,3400000,2380000,NV00061,CN HN
3/2/2017,ĐH0000992,KH-0025,P-037,1,6223000,6223000,3733800,NV00108,CN HP
3/3/2017,ĐH0000997,KH-0026,P-038,1,5232000,5232000,3662400,NV00106,CN HN
3/4/2017,ĐH0000998,KH-0027,P-003,1,2365000,2365000,1655500,NV00096,CN HN
3/5/2017,ĐH0000999,KH-0028,P-039,1,8135000,8135000,4881000,NV00086,CN HP
3/6/2017,ĐH0000999,KH-0028,P-040,1,7775000,7775000,5053750,NV00086,CN HP
3/7/2017,ĐH0001000,KH-0029,P-021,1,13590000,13590000,8833500,NV00086,CN HP
3/8/2017,ĐH0000003,KH-0030,P-041,1,5000000,5000000,3250000,NV00078,CN HCM
3/9/2017,ĐH0000009,KH-0031,P-042,1,4102000,4102000,2871400,NV00086,CN HCM
3/10/2017,ĐH0000012,KH-0032,P-043,1,19548000,19548000,12706200,NV00108,CN HCM
3/11/2017,ĐH0000012,KH-0032,P-021,1,11429000,11429000,8000300,NV00108,CN HCM
3/12/2017,ĐH0000002,KH-0033,P-044,1,4630000,4630000,2778000,NV00108,CN HP
3/13/2017,ĐH0000029,KH-0027,P-003,1,2365000,2365000,1537250,NV00096,CN HP
3/14/2017,ĐH0000032,KH-0034,P-045,1,5680000,5680000,3976000,NV00078,CN HP
3/15/2017,ĐH0000033,KH-0035,P-015,1,3875000,3875000,2712500,NV00086,CN HCM
3/16/2017,ĐH0000047,KH-0036,P-046,1,17045000,17045000,10227000,NV00080,CN HP
3/17/2017,ĐH0000047,KH-0036,P-047,1,13669000,13669000,8884850,NV00080,CN HN
3/18/2017,ĐH0000039,KH-0034,P-005,1,5680000,5680000,3692000,NV00078,CN HP
3/19/2017,ĐH0000040,KH-0037,P-045,1,5550000,5550000,3330000,NV00078,CN HP
3/20/2017,ĐH0000048,KH-0038,P-023,1,9538000,9538000,5722800,NV00108,CN HP
3/21/2017,ĐH0000049,KH-0039,P-048,1,14200000,14200000,9230000,NV00108,CN HP
3/22/2017,ĐH0000049,KH-0039,P-049,1,13100000,13100000,9170000,NV00108,CN HCM
3/23/2017,ĐH0000049,KH-0039,P-008,1,8290000,8290000,5803000,NV00108,CN HN
3/24/2017,ĐH0000049,KH-0039,P-050,1,1250000,1250000,875000,NV00108,CN HN
3/25/2017,ĐH0000062,KH-0040,P-051,1,470000,470000,329000,NV00086,CN HP
3/26/2017,ĐH0000061,KH-0041,P-052,1,250000,250000,150000,NV00078,CN HN
3/27/2017,ĐH0000063,KH-0027,P-003,1,2365000,2365000,1537250,NV00096,CN HP
3/28/2017,ĐH0000064,KH-0014,P-053,1,6527000,6527000,3916200,NV00080,CN HP
3/29/2017,ĐH0000073,KH-0012,P-007,1,8200000,8200000,5740000,NV00078,CN HN
3/30/2017,ĐH0000078,KH-0010,P-012,1,8200000,8200000,4920000,NV00080,CN HCM
3/31/2017,ĐH0000088,KH-0027,P-003,1,2365000,2365000,1537250,NV00096,CN HP
4/1/2017,ĐH0000089,KH-0003,P-003,1,2500000,2500000,1750000,NV00111,CN HP
4/2/2017,ĐH0000089,KH-0003,P-054,1,300000,300000,210000,NV00111,CN HP
4/3/2017,ĐH0000090,KH-0003,P-003,1,2130000,2130000,1278000,NV00111,CN HP
4/4/2017,ĐH0000091,KH-0003,P-055,1,1920000,1920000,1248000,NV00078,CN HP
4/5/2017,ĐH0000093,KH-0042,P-023,1,9992246,9992246,6994572.2,NV00078,CN HCM
4/6/2017,ĐH0000101,KH-0043,P-037,1,7188000,7188000,4672200,NV00086,CN HCM
4/7/2017,ĐH0000102,KH-0044,P-040,1,22000000,22000000,14300000,NV00108,CN HP
4/8/2017,ĐH0000103,KH-0045,P-056,1,15714000,15714000,10999800,NV00078,CN HN
4/9/2017,ĐH0000103,KH-0045,P-057,1,9183960,9183960,6428772,NV00078,CN HP
4/10/2017,ĐH0000113,KH-0010,P-058,1,18255000,18255000,10953000,NV00080,CN HP
4/11/2017,ĐH0000115,KH-0046,P-059,1,4150000,4150000,2905000,NV00111,CN HN
4/12/2017,ĐH0000126,KH-0013,P-020,1,2379000,2379000,1427400,NV00078,CN HN
4/13/2017,ĐH0000126,KH-0013,P-019,1,3340000,3340000,2004000,NV00078,CN HCM
4/14/2017,ĐH0000127,KH-0030,P-060,1,1250000,1250000,750000,NV00078,CN HP
4/15/2017,ĐH0000131,KH-0047,P-061,1,490000,490000,318500,NV00078,CN HN
4/16/2017,ĐH0000148,KH-0048,P-062,1,1148000,1148000,688800,NV00061,CN HCM
4/17/2017,ĐH0000152,KH-0049,P-018,1,2960000,2960000,1924000,NV00080,CN HCM
4/18/2017,ĐH0000746,KH-0050,P-021,1,21500000,21500000,15050000,NV00017,CN HP
4/19/2017,ĐH0000749,KH-0051,P-015,1,3817000,3817000,2290200,NV00017,CN HP
4/20/2017,ĐH0000749,KH-0051,P-016,1,7594000,7594000,5315800,NV00017,CN HN
4/21/2017,ĐH0000753,KH-0052,P-032,1,8900000,8900000,6230000,NV00017,CN HP
4/22/2017,ĐH0000755,KH-0053,P-063,1,12600000,12600000,7560000,NV00017,CN HN
4/23/2017,ĐH0000760,KH-0054,P-064,1,3700000,3700000,2405000,NV00017,CN HCM
4/24/2017,ĐH0000762,KH-0054,P-065,1,8400000,8400000,5460000,NV00017,CN HCM
4/25/2017,ĐH0000762,KH-0054,P-014,1,8400000,8400000,5040000,NV00017,CN HN
4/26/2017,ĐH0000763,KH-0055,P-066,1,36500000,36500000,23725000,NV00017,CN HCM
4/27/2017,ĐH0000771,KH-0056,P-067,1,770000,770000,462000,NV00017,CN HP
4/28/2017,ĐH0000775,KH-0050,P-068,1,2100000,2100000,1365000,NV00017,CN HP
4/29/2017,ĐH0000779,KH-0057,P-017,1,4150000,4150000,2905000,NV00017,CN HP
4/30/2017,ĐH0000780,KH-0058,P-025,1,18200000,18200000,10920000,NV00017,CN HP
5/1/2017,ĐH0000786,KH-0059,P-018,1,3150000,3150000,2047500,NV00017,CN HP
5/2/2017,ĐH0000787,KH-0060,P-069,1,1300000,1300000,845000,NV00017,CN HCM
5/3/2017,ĐH0000796,KH-0061,P-069,1,1300000,1300000,910000,NV00017,CN HP
5/4/2017,ĐH0000797,KH-0062,P-017,1,4180000,4180000,2717000,NV00017,CN HCM
5/5/2017,ĐH0000798,KH-0063,P-028,1,2980000,2980000,2086000,NV00017,CN HN
5/6/2017,ĐH0000798,KH-0063,P-028,1,2980000,2980000,2086000,NV00017,CN HN
5/7/2017,ĐH0000799,KH-0064,P-070,1,5460000,5460000,3276000,NV00017,CN HP
5/8/2017,ĐH0000807,KH-0062,P-017,1,4180000,4180000,2926000,NV00017,CN HCM
5/9/2017,ĐH0000814,KH-0065,P-004,1,13000000,13000000,7800000,NV00017,CN HP
5/10/2017,ĐH0000820,KH-0066,P-071,1,770000,770000,462000,NV00017,CN HN
5/11/2017,ĐH0000822,KH-0003,P-072,1,150000,150000,97500,NV00017,CN HCM
5/12/2017,ĐH0000830,KH-0067,P-005,1,5800000,5800000,3770000,NV00017,CN HCM
5/13/2017,ĐH0000831,KH-0050,P-068,1,2100000,2100000,1260000,NV00017,CN HP
5/14/2017,ĐH0000833,KH-0054,P-012,1,8400000,8400000,5040000,NV00017,CN HN
5/15/2017,ĐH0000835,KH-0068,P-073,1,10200000,10200000,7140000,NV00017,CN HCM
5/16/2017,ĐH0000837,KH-0069,P-074,1,1200000,1200000,720000,NV00017,CN HCM
5/17/2017,ĐH0000842,KH-0056,P-075,1,770000,770000,462000,NV00017,CN HN
5/18/2017,ĐH0000850,KH-0050,P-021,1,14800000,14800000,8880000,NV00017,CN HCM
5/19/2017,ĐH0000862,KH-0070,P-018,1,3100000,3100000,1860000,NV00017,CN HCM
