Mã KH,Khách hàng
KH-0001,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ BÁCH KHOA
KH-0002,Công ty CP Phát triển Kỹ thuật và Thương mại Tân Đức
KH-0003,NGƯỜI MUA KHÔNG LẤY HÓA ĐƠN
KH-0004,CÔNG TY TNHH PRO ACTIVE GLOBAL VIỆT NAM
KH-0005,Công ty TNHH Công nghệ Ktech
KH-0006,NGÂN HÀNG TMCP Á CHÂU
KH-0007,Công ty TNHH Tích Hợp Hệ thống CMC Sài Gòn
KH-0008,CN Cty TNHH Máy Tính Nét (TP. Hà Nội)
KH-0009,CỬA HÀNG VI TÍNH PHÁT ĐẠT BÌNH DƯƠNG
KH-0010,CN CTY TNHH KDDI VN TẠI TP. HCM
KH-0011,DNTN VŨ CÁNH
KH-0012,CÔNG TY TNHH NAVIC VÀ KUNSHIN VIỆT NAM
KH-0013,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TRIỂN CÔNG NGHỆ SÀI GÒN
KH-0014,CTY TNHH SOFTWAREONE VIỆT NAM
KH-0015,CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU AN NAM
KH-0016,Văn phòng thường trú Taisei Corporation tại Tp HCM
KH-0017,CÔNG TY TNHH QUẢNG CÁO VÀ TRUYỀN THÔNG THẾ HỆ MỚI
KH-0018,CÔNG TY TNHH TM DV CÔNG NGHỆ MỘT THÀNH VIÊN PHÚ AN
KH-0019,CÔNG TY TNHH DUY NGUYỄN MPS
KH-0020,CTY TNHH TRÚC XUÂN
KH-0021,CÔNG TY CỔ PHẦN GĂNG VIỆT
KH-0022,Khách lẻ
KH-0023,CÔNG TY CỔ PHẦN BỆNH VIỆN MẮT QUỐC TẾ HOÀN MỸ SÀI GÒN
KH-0024,Công Ty TNHH Phần Mềm Kỷ Nguyên Số
KH-0025,CÔNG TY TNHH SOLID & SOFT
KH-0026,CÔNG TY TNHH DGS LOGISTICS
KH-0027,CÔNG TY TNHH GIAO NHẬN KỶ OAI RỒNG CHI NA
KH-0028,CÔNG TY TNHH ALTUS GROUP (VIỆT NAM)
KH-0029,CÔNG TY TNHH SHOWA BRAIN NAVI VIỆT NAM
KH-0030,Công ty TNHH TM DV Thiết bị số Huy Phát
KH-0031,Công ty TNHH Winning Access Property Việt Nam
